id,permit_permit_id,boroughid,permitcategory,currentstatus,duration_start_date,duration_end_date,reason_category,occupancy_name,submittercategory,organizationname,duration_days_mon_active,duration_days_mon_all_day_round,duration_days_tue_active,duration_days_tue_all_day_round,duration_days_wed_active,duration_days_wed_all_day_round,duration_days_thu_active,duration_days_thu_all_day_round,duration_days_fri_active,duration_days_fri_all_day_round,duration_days_sat_active,duration_days_sat_all_day_round,duration_days_sun_active,duration_days_sun_all_day_round,duration_days_sat_start_time,duration_days_sat_end_time,duration_days_mon_start_time,duration_days_mon_end_time,duration_days_tue_start_time,duration_days_tue_end_time,duration_days_wed_start_time,duration_days_wed_end_time,duration_days_thu_start_time,duration_days_thu_end_time,duration_days_fri_start_time,duration_days_fri_end_time,duration_days_sun_start_time,duration_days_sun_end_time,load_date,longitude,latitude
"65a16477cb502f001993169b","OCC-2401LV10220802","Côte-des-Neiges-Notre-Dame-de-Grâce","Travaux","Permis émis","2024-01-14T19:00:00Z","2024-01-19T18:59:59Z","Construction/rénovation sans excavation","Hingston entre Notre-Dame-de-Grâce et Monkland","Entreprise","Groupe Module Construction","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00",,,"2024-01-20T00:11:30Z",-73.62359011754818,45.46864827869791
"65a16175cb502f00199315e4","OCC-2401LS10099538","Verdun","Travaux","Permis émis","2023-10-23T20:00:00Z","2024-03-15T19:59:59Z","Construction/rénovation sans excavation","LaSalle entre Edna et Église","Entreprise","Groupe AXOR INC.","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-01-20T00:11:30Z",-73.56430421632203,45.463908616450254
"65a16222cb502f0019931628","OCC-2401BD10218601","Côte-des-Neiges-Notre-Dame-de-Grâce","Travaux","Permis émis","2024-01-14T19:00:00Z","2024-01-19T18:59:59Z","Construction/rénovation sans excavation","Beaconsfield entre Notre-Dame-de-Grâce et Monkland","Entreprise","Groupe Module Construction","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00",,,"2024-01-20T00:11:30Z",-73.62408394223274,45.468078200900806
"65a1667dcb502f001993170b","OCC-2401XY10116897","Villeray-Saint-Michel-Parc-Extension","Travaux","Permis émis","2024-01-14T19:00:00Z","2024-01-19T18:59:59Z","Construction/rénovation sans excavation","Casgrain entre Jarry et Guizot",,,"t","t","t","t","t","t","t","t","t","t","f","f","f","f",,,,,,,,,,,,,,,"2024-01-20T00:11:30Z",-73.63240327696226,45.540529837679806
"65a17430cb502f001993192e","OCC-2401RX10172102","Ahuntsic-Cartierville","Travaux","Permis émis","2024-01-15T19:00:00Z","2024-01-19T18:59:59Z","Construction/rénovation sans excavation","Legendre entre Saint-Laurent et Henri-Julien","Organisation publique ou son sous-traitant","Cegerco","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00",,,"2024-01-20T00:11:30Z",-73.6464245082739,45.54603708769609
"65a16f6ef33b1800198fd9bd","OCC-2401TX10173172","Rosemont-La Petite-Patrie","Travaux","Permis émis","2024-01-11T19:00:00Z","2024-01-19T18:59:59Z","Construction/rénovation sans excavation","Ruelle",,,"t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00",,,"2024-01-20T00:11:30Z",-73.58741640947872,45.54847547517737
"65a16f70cb502f00199318d4","OCC-2401SO12584646","Ville-Marie","Travaux","Permis émis","2024-01-14T19:00:00Z","2024-01-26T18:59:59Z","Autre","Sainte-Élisabeth entre Dufault et Sainte-Catherine","Entreprise","MA2D Construction","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00",,,"2024-01-20T00:11:30Z",-73.56158560088659,45.51209867480407
"65a17c84f33b1800198fda7b","OCC-2401WK10185485","Villeray-Saint-Michel-Parc-Extension","Travaux","Permis émis","2024-01-15T19:00:00Z","2024-01-19T18:59:59Z","Construction/rénovation sans excavation","Foucher entre Mistral et Guizot","Entreprise","Construction 3/4 fort","t","t","t","t","t","t","t","t","t","t","f","f","f","f",,,,,,,,,,,,,,,"2024-01-20T00:11:30Z",-73.63002681843052,45.54551445884408
"65a177e0cb502f0019931994","OCC-2401JL10174475","Ville-Marie","Travaux","Permis émis","2024-01-18T19:00:00Z","2024-01-19T18:59:59Z","Construction/rénovation sans excavation","Jean-Langlois entre Fullum et Dufresne","Entreprise","9450-0774 Quebec Inc.","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00",,,"2024-01-20T00:11:30Z",-73.54605101470072,45.52704166840839
"65a18a4ef33b1800198fdd09","OCC-2401BV15179766","Côte-des-Neiges-Notre-Dame-de-Grâce","Travaux","Permis émis","2024-01-21T19:00:00Z","2024-01-22T18:59:59Z","Construction/rénovation sans excavation","Cavendish entre Terrebonne et Somerled","Organisation publique ou son sous-traitant","Hydro-Québec-Entrave courte durée","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"09:30","15:30","09:30","15:30","09:30","15:30","09:30","15:30","09:30","15:30",,,"2024-01-20T00:11:30Z",-73.63534937674657,45.46686165080064
"65a18325f33b1800198fdbd1","OCC-2401XU13450184","Le Plateau-Mont-Royal","Travaux","Permis émis","2024-01-18T19:00:00Z","2024-01-19T18:59:59Z","Construction/rénovation sans excavation","Saint-Grégoire entre Saint-Hubert et Saint-André","Organisation publique ou son sous-traitant","Hydro-Québec-Entrave courte durée","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"09:00","16:00","09:00","16:00","09:00","16:00","09:00","16:00","09:00","16:00",,,"2024-01-20T00:11:30Z",-73.59163697615362,45.53099708853044
"65a188b3f33b1800198fdcc0","OCC-2401LT10183884","Ville-Marie","Travaux","Permis émis","2024-01-14T19:00:00Z","2024-01-25T18:59:59Z","Égouts et aqueducs - Excavation","De Maisonneuve entre Saint-Christophe et Atateken","Ville de Montréal",,"t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00",,,"2024-01-20T00:11:30Z",-73.55945672465648,45.517161624895394
"65a19431f33b1800198fde20","OCC-2401ZE12596736","Verdun","Travaux","Permis émis","2024-01-18T19:00:00Z","2024-01-23T18:59:59Z","S-1 Infrastructure souterraine existante","LaSalle entre Henri-Duhamel et Henri-Duhamel","RTU (Réseau technique urbain) ou son sous-traitant
","Telecon","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00",,,"2024-01-20T00:11:30Z",-73.56936231563859,45.4722744153283
"65a18484cb502f0019931b99","OCC-2401SP12627592","Côte-des-Neiges-Notre-Dame-de-Grâce","Travaux","Permis émis","2024-01-18T19:00:00Z","2024-01-19T18:59:59Z","Construction/rénovation sans excavation","Légaré entre Carlton et Plamondon","Organisation publique ou son sous-traitant","Hydro-Québec-Entrave courte durée","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"12:00","17:00","12:00","17:00","12:00","17:00","12:00","17:00","12:00","17:00",,,"2024-01-20T00:11:30Z",-73.63667450106269,45.499551983536335
"65a18557cb502f0019931bde","OCC-2401IM12577959","Anjou","Travaux","Permis émis","2024-01-18T19:00:00Z","2024-01-19T18:59:59Z","Construction/rénovation sans excavation","Renaude-Lapointe entre Minicut et Renaude-Lapointe","Organisation publique ou son sous-traitant","Hydro-Québec-Entrave courte durée","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"09:30","13:30","09:30","13:30","09:30","13:30","09:30","13:30","09:30","13:30",,,"2024-01-20T00:11:30Z",-73.59734629878845,45.61258327531478
"65a19122cb502f0019931dba","OCC-2401EW12600570","Le Plateau-Mont-Royal","Travaux","Permis émis","2024-01-14T19:00:00Z","2024-01-19T18:59:59Z","Construction/rénovation sans excavation","Bibaud entre Berri et Resther","Entreprise","Construction Gamarco Inc.","t","t","t","t","t","t","t","t","t","t","f","f","f","f",,,,,,,,,,,,,,,"2024-01-20T00:11:30Z",-73.58899102280665,45.528664312215966
"65a19432f33b1800198fde24","OCC-2401JX12652430","Côte-des-Neiges-Notre-Dame-de-Grâce","Travaux","Permis émis","2024-01-18T19:00:00Z","2024-01-19T18:59:59Z","Construction/rénovation sans excavation","Bourret entre Westbury et Mountain Sights","Organisation publique ou son sous-traitant","Hydro-Québec-Entrave courte durée","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"11:00","23:00","11:00","23:00","11:00","23:00","11:00","23:00","11:00","23:00",,,"2024-01-20T00:11:30Z",-73.63787024589342,45.48962792031227
